Company Name,First Name,Last Name,Full Name,Job Title,Location,Company Domain,LinkedIn Profile
"Future of Film Productions, LLC",Alexander,Raye Pimentel,Alexander Raye Pimentel,Chief Executive Officer,"Englewood, Colorado, United States",imdb.com,https://www.linkedin.com/in/alexanderrayepimentel/
"Brandt Electronics, Inc",Curtis,Kent,Curtis Kent,Chief Executive Officer,"Santa Clara, California, United States",,https://www.linkedin.com/in/curtiskent/
Agivant Technologies,Sandeep,Kishore,Sandeep Kishore,Founder and CEO,San Francisco Bay Area,agivant.com,https://www.linkedin.com/in/sandeepkishore/
Smart Buildings Industry (SBI) Talent Network,Skip,Freeman,Skip Freeman,"Founder, CEO, & Senior Technical Recruiter","Columbia, South Carolina, United States",buildingautomation.jobs,https://www.linkedin.com/in/skipfreeman/
American Data Solutions (ADS),Ran,Meriaz,Ran Meriaz,President & CEO,"Smyrna, Georgia, United States",amdaso.com,https://www.linkedin.com/in/ran-meriaz-a782101/
Leadership Lab,Scott,Gordon,Scott Gordon,Founder and CMO,Los Angeles Metropolitan Area,,https://www.linkedin.com/in/scott-gordon-6a3a751/
Sherman Industries,Manny,Garcia,Manny Garcia,CEO & Co-Founder,"Las Vegas, Nevada, United States",shermanindustries.com,https://www.linkedin.com/in/manny-garcia-b89b941a1/
Waldom Electronics,Don,Akery,Don Akery,Chief Executive Officer,"Miami Beach, Florida, United States",,https://www.linkedin.com/in/donakery/
Churchill Leadership Group Inc.,Jayne,Jenkins BSc. PCC,Jayne Jenkins BSc. PCC,CEO of Churchill Leadership Group - A Global Coaching Organization,"St Petersburg, Florida, United States",churchillleadershipgroup.com,https://www.linkedin.com/in/jaynejenkins/
webblogic,Nicholas,Webb,Nicholas Webb,CEO Founder,"Scottsdale, Arizona, United States",webblogic.com,https://www.linkedin.com/in/nicholasjwebb/
Leucine - AI for Pharma,Vivek,Gera,Vivek Gera,CEO,"Jersey City, New Jersey, United States",leucine.io,https://www.linkedin.com/in/vivek-gera-8718878/
EV Hover,Michael,Meyer,Mike Mayer,CEO,Greater Chicago Area,evhover.com,https://www.linkedin.com/in/ecommerceexec/
TQA,Tom,Abbott,Tom Abbott,"Founder, Chief Revenue Officer & Executive Board Member","Austin, Texas, United States",tqasolutions.com,https://www.linkedin.com/in/tom-abbott30/
Guardrails AI,Diego,Oppenheimer,Diego Oppenheimer,Co-Founder and Member Board of Directors,"Seattle, Washington, United States",guardrailsai.com,https://www.linkedin.com/in/doppenheimer/
CATV Training Institute,Franklin,Snider,Franklin Snider,Founder,New York City Metropolitan Area,catvtraining.com,https://www.linkedin.com/in/franklin-snider-88283167/
Velmenni,Mini,Suri,Mini Suri,Co-Founder & CEO,United States,velmenni.com,https://www.linkedin.com/in/minisuri/
Quantum Microwave Components,Andy,Cobin,Andy Cobin,President & CEO,Greater Boston,quantummicrowave.com,https://www.linkedin.com/in/andy-cobin-48b067139/
OLS,Scott,Cornblatt,Scott Cornblatt,Owner/President,"Gaithersburg, Maryland, United States",olsgogreen.com,https://www.linkedin.com/in/scott-cornblatt-8247646/
Corpus Optima,Dave,Guerra Author,David Thomas Guerra,Chief Executive Officer,"Houston, Texas, United States",superfication.com,https://www.linkedin.com/in/daveguerra/
CBDWAI,Greg,Lambrecht,Greg Lambrecht,CEO and founder of 1606 CORP.,"Phoenix, Arizona, United States",cbdw.ai,https://www.linkedin.com/in/greg-lambrecht/
RXL Inc.,Eddie,Garcia,Eddie Garcia,President/CEO,Los Angeles Metropolitan Area,rxlusa.com,https://www.linkedin.com/in/eddie-garcia-a000376/
Northeast Tool & Manufacturing,Larry R.,Arant,Larry R. Arant,CEO,"Charlotte, North Carolina, United States",northeasttool.us,https://www.linkedin.com/in/larryrarant/
CheckSum,John,Van Newkirk,John VanNewkirk,President and CEO,"Seattle, Washington, United States",checksum.com,https://www.linkedin.com/in/john-vannewkirk-1431ba152/
The Chemours Company,Mark,E. Newman,Mark E. Newman,President and Chief Executive Officer,"Philadelphia, Pennsylvania, United States",chemours.com,https://www.linkedin.com/in/markenewman/
Zytek EMS,Mahmood,Z. Khan,Mahmood Z. Khan,CEO,"San Jose, California, United States",,https://www.linkedin.com/in/mahmood-z-khan-00b742/
EMS - Employee Mobility Solutions,Ana,Gazarian,Ana Gazarian,CEO,"Miami, Florida, United States",ems-ir.com,https://www.linkedin.com/in/ana-gazarian-18243411/
Emerge Global,Jeremiah,O'Brian,Jeremiah O'Brian,Chief Executive Officer,"Los Angeles, California, United States",emergeglobal.us,https://www.linkedin.com/in/jeremiah-obrian/
BLUSA Defense Manufacturing,Daniel,Farber,Daniel Farber,President/CEO,"Mount Laurel, New Jersey, United States",blusadefense.com,https://www.linkedin.com/in/daniel-farber-b4759/
Penta SCS Ltd,Yehuda,Greenblum,Yehuda Greenblum,Founder & CEO - Penta SCS - Supply chain efficiency specialist,"Agawam, Massachusetts, United States",penta-scs.com,https://www.linkedin.com/in/yehudagreenblum/
Purvieu AI,Kristian,Landes,Kristian Landes,Co-Founder and CEO,"Lehi, Utah, United States",,https://www.linkedin.com/in/kristian-landes-38b701119/
Coherent Corp.,Craig,Mullaney,Craig Mullaney,Chief of Staff & Strategic Advisor to the CEO,Washington DC-Baltimore Area,coherent.com,https://www.linkedin.com/in/craigmmullaney/
Advanced Electronics and Devices,Christopher,Mackenzie,Christopher Mackenzie,President and CEO,Miami-Fort Lauderdale Area,aedsecure.com,https://www.linkedin.com/in/advancedelectronicsanddevices/
CSignum,Jonathan,Reeves,Jonathan Reeves,Chief Executive Officer,"Cheshire, Connecticut, United States",csignum.com,https://www.linkedin.com/in/jonathan-reeves-33bb45/
Salt AI,Chris,DeWolfe,Chris DeWolfe,Chief Executive Officer,"Beverly Hills, California, United States",salt.ai,https://www.linkedin.com/in/chrisdewolfe/
Electronic Manufacturing Company,Saleem,Musallam,Saleem Musallam,President/CEO,"Tampa, Florida, United States",electronicmanufacturingco.com,https://www.linkedin.com/in/saleem-musallam-01335625/
Gateway Geospatial Group (G3),William,Astore,William Astore,Co-Founder and Executive Partner,United States,gatewaygeo.io,https://www.linkedin.com/in/williamastore/
Guardrails AI,Shreya,Rajpal,Shreya Rajpal,Cofounder and CEO,"San Francisco, California, United States",guardrailsai.com,https://www.linkedin.com/in/shreya-rajpal/
Linmarr Associates Inc.,Ken,Hoffman,Ken Hoffman,President/CFO/Owner,"Irvine, California, United States",linmarr.com,https://www.linkedin.com/in/khoffmanmba/
Qnergy,Ory,Zik,Ory Zik,CEO,"Brookline, Massachusetts, United States",qnergy.com,https://www.linkedin.com/in/ory-zik-2813a6b/
Ironwave Technologies LLC,Tony,Lisuzzo,Anthony (Tony) Lisuzzo  (SES Retired),President and CEO,Washington DC-Baltimore Area,iwtllc.com,https://www.linkedin.com/in/tonylisuzzo/
"Verto & Associates, LLC",Richard,Wright,Richard Wright,Chief Executive Officer,"Pinellas County, Florida, United States",,https://www.linkedin.com/in/richard-wright-8562745/
Movar,Micah,Piippo,Micah Piippo,Chief Executive Officer (US),"Beaverton, Oregon, United States",psp.limited,https://www.linkedin.com/in/micahpiippo/
